103 14
23 102
0 101
100 14
99 14
8 14
98 25
94 82
97 53
84 96
95 15
94 6
56 93
72 10
80 14
92 88
8 15
91 3
90 1
11 89
0 88
7 15
87 70
86 68
37 85
84 19
73 83
74 82
37 2
81 1
80 32
46 79
78 28
46 77
76 14
7 75
74 1
73 65
1 16
72 1
71 25
0 70
46 69
37 16
8 68
67 19
66 50
7 65
64 25
12 63
12 5
62 14
61 14
1 40
60 38
59 4
7 58
23 1
7 57
56 14
55 30
54 28
1 53
23 52
8 51
46 32
7 50
46 3
49 25
0 48
7 47
1 6
46 14
12 45
44 1
43 2
8 1
42 19
41 14
27 40
8 39
0 38
37 14
36 15
1 30
35 14
34 25
33 3
11 14
22 32
0 31
8 30
29 17
1 28
12 3
27 17
0 16
26 14
12 14
0 25
24 14
0 19
7 14
23 3
22 14
1 21
20 3
1 19
18 14
8 17
1 14
11 16
0 15
0 14
1 13
12 0
11 2
1 10
0 9
8 3
7 4
0 6
1 5
0 3
0 4
0 2
1 3
1 2
0 1
1 0
