99 2
99 11
98 38
98 2
97 21
97 5
96 58
96 7
95 3
95 61
94 37
94 1
93 84
93 7
92 7
92 10
91 89
91 19
90 4
90 71
89 41
89 66
88 2
88 3
87 83
87 84
86 66
86 27
85 68
85 72
84 58
84 82
83 33
83 60
82 5
82 46
81 60
81 38
80 20
80 16
79 43
79 62
78 11
78 71
77 6
77 58
76 58
76 51
75 7
75 2
74 36
74 3
73 5
73 0
72 30
72 42
71 0
71 24
70 13
70 7
69 38
69 60
68 36
68 58
67 2
67 7
66 56
66 25
65 1
65 21
64 1
64 2
63 8
63 1
62 1
62 20
61 51
61 58
60 7
60 5
59 41
59 6
58 53
58 45
57 25
57 28
56 2
56 7
55 0
55 28
54 14
54 31
53 18
53 11
52 24
52 0
51 10
51 7
50 42
50 30
49 43
49 43
48 30
48 20
47 14
47 2
46 45
46 23
45 0
45 9
44 28
44 42
43 37
43 6
42 33
42 35
41 31
41 4
40 14
40 38
39 0
39 5
38 19
38 0
37 8
37 1
36 1
36 21
35 6
35 21
34 8
34 11
33 7
33 13
32 30
32 6
31 11
31 8
30 14
30 23
29 20
29 1
28 6
28 8
27 20
27 23
26 21
26 1
25 11
25 2
24 7
24 1
23 6
23 0
22 16
22 20
21 5
21 0
20 13
20 1
19 6
19 0
18 7
18 0
17 0
17 5
16 4
16 3
15 1
15 1
14 8
14 1
13 0
13 1
12 0
12 7
11 1
11 8
10 6
10 3
9 8
9 1
8 0
8 6
7 0
7 1
6 1
6 1
5 1
5 4
4 3
4 2
3 1
3 1
0 2
2 0
1 2
2 1
0 1
1 0
