99 21
99 5
98 2
98 0
97 30
97 17
96 53
96 59
95 70
95 0
94 18
94 30
93 23
93 77
92 30
92 86
91 71
91 22
90 71
90 46
89 30
89 17
88 11
88 4
87 2
87 5
86 4
86 1
85 5
85 63
84 59
84 41
83 49
83 60
82 51
82 59
81 50
81 10
80 74
80 5
79 61
79 0
78 15
78 7
77 39
77 70
76 73
76 61
75 1
75 10
74 2
74 19
73 0
73 9
72 30
72 45
71 2
71 59
70 41
70 6
69 47
69 59
68 2
68 37
67 17
67 30
66 61
66 2
65 30
65 17
64 59
64 2
63 0
63 11
62 18
62 0
61 11
61 35
60 2
60 0
59 0
59 1
58 23
58 23
57 4
57 0
56 17
56 30
55 11
55 0
54 23
54 10
53 42
53 49
52 30
52 23
51 4
51 0
50 0
50 10
49 4
49 1
48 47
48 2
47 0
47 27
46 20
46 42
45 9
45 23
44 0
44 0
43 0
43 10
42 15
42 37
41 8
41 0
40 8
40 2
39 7
39 15
38 10
38 1
37 12
37 36
36 0
36 4
35 1
35 15
34 10
34 11
33 15
33 8
32 18
32 7
31 0
31 2
30 19
30 4
29 0
29 2
28 19
28 2
27 23
27 9
26 11
26 5
25 17
25 3
24 1
24 0
23 5
23 14
22 4
22 2
21 15
21 2
20 1
20 17
19 10
19 0
18 2
18 5
17 4
17 1
16 5
16 11
15 1
15 12
14 11
14 0
13 0
13 11
12 4
12 1
11 1
11 3
10 8
10 8
9 2
9 8
8 6
8 5
7 1
7 2
6 2
6 1
5 1
5 4
4 0
4 0
3 0
3 2
0 2
2 0
1 2
2 1
0 1
1 0
