99 30
99 0
98 80
98 4
97 16
97 33
96 59
96 64
95 93
95 8
94 44
94 53
93 68
93 6
92 10
92 31
91 0
91 8
90 0
90 31
89 0
89 21
88 8
88 34
87 48
87 5
86 4
86 13
85 1
85 58
84 62
84 31
83 38
83 8
82 1
82 56
81 8
81 69
80 14
80 53
79 1
79 0
78 1
78 50
77 10
77 0
76 51
76 14
75 59
75 27
74 65
74 60
73 16
73 0
72 59
72 0
71 14
71 0
70 45
70 37
69 2
69 41
68 13
68 1
67 11
67 0
66 3
66 18
65 14
65 20
64 27
64 2
63 31
63 0
62 56
62 50
61 45
61 11
60 58
60 8
59 34
59 8
58 56
58 30
57 15
57 39
56 26
56 4
55 10
55 18
54 8
54 0
53 30
53 8
52 1
52 21
51 2
51 5
50 0
50 0
49 1
49 46
48 6
48 42
47 0
47 10
46 24
46 23
45 8
45 38
44 7
44 3
43 9
43 2
42 18
42 10
41 5
41 39
40 0
40 14
39 31
39 32
38 11
38 0
37 0
37 11
36 9
36 1
35 2
35 29
34 0
34 8
33 13
33 4
32 1
32 0
31 0
31 5
30 23
30 5
29 0
29 0
28 1
28 23
27 12
27 22
26 5
26 2
25 9
25 1
24 1
24 2
23 18
23 3
22 14
22 0
21 19
21 14
20 4
20 19
19 0
19 14
18 6
18 1
17 0
17 0
16 4
16 0
15 0
15 3
14 10
14 0
13 11
13 5
12 0
12 0
11 1
11 6
10 5
10 0
9 6
9 0
8 0
8 6
7 0
7 1
6 0
6 0
5 3
5 0
4 1
4 0
3 1
3 0
0 2
2 0
1 2
2 1
0 1
1 0
