99 46
99 16
98 11
98 51
97 0
97 0
96 43
96 71
95 88
95 25
94 9
94 24
93 7
93 75
92 34
92 39
91 56
91 38
90 35
90 27
89 16
89 1
88 86
88 43
87 3
87 14
86 6
86 12
85 79
85 50
84 61
84 35
83 6
83 5
82 7
82 74
81 71
81 24
80 55
80 24
79 1
79 0
78 9
78 4
77 58
77 30
76 2
76 29
75 27
75 9
74 43
74 12
73 4
73 41
72 20
72 5
71 1
71 16
70 32
70 15
69 5
69 6
68 0
68 42
67 3
67 11
66 0
66 42
65 7
65 5
64 35
64 27
63 42
63 0
62 57
62 29
61 12
61 38
60 0
60 23
59 39
59 34
58 20
58 11
57 14
57 50
56 12
56 25
55 29
55 2
54 7
54 40
53 9
53 44
52 25
52 12
51 25
51 12
50 12
50 13
49 12
49 0
48 11
48 3
47 7
47 9
46 3
46 25
45 1
45 0
44 25
44 12
43 9
43 18
42 38
42 30
41 0
41 2
40 25
40 0
39 3
39 1
38 27
38 35
37 2
37 9
36 25
36 9
35 0
35 1
34 12
34 6
33 2
33 14
32 13
32 28
31 18
31 13
30 23
30 10
29 25
29 5
28 14
28 2
27 12
27 25
26 14
26 3
25 1
25 0
24 5
24 7
23 9
23 0
22 0
22 2
21 4
21 11
20 16
20 1
19 11
19 14
18 6
18 5
17 4
17 9
16 9
16 4
15 9
15 7
14 2
14 2
13 1
13 4
12 2
12 9
11 1
11 0
10 0
10 1
9 1
9 4
8 1
8 1
7 0
7 4
6 4
6 2
5 2
5 0
4 1
4 0
3 0
3 0
0 2
2 0
1 2
2 1
0 1
1 0
