99 9
99 2
99 5
99 1
99 11
98 5
98 0
98 1
98 4
98 3
97 2
97 1
97 4
97 5
97 9
96 4
96 11
96 2
96 14
96 34
95 14
95 4
95 26
95 5
95 89
94 0
94 4
94 2
94 3
94 15
93 40
93 5
93 0
93 3
93 46
92 1
92 3
92 4
92 5
92 2
91 2
91 3
91 1
91 4
91 0
90 5
90 7
90 0
90 4
90 76
89 11
89 4
89 5
89 14
89 26
88 0
88 5
88 4
88 1
88 40
87 5
87 59
87 7
87 2
87 63
86 4
86 44
86 47
86 5
86 54
85 4
85 0
85 5
85 2
85 15
84 3
84 2
84 0
84 5
84 35
83 2
83 4
83 5
83 31
83 75
82 10
82 4
82 12
82 16
82 23
81 5
81 4
81 1
81 0
81 25
80 5
80 7
80 0
80 57
80 76
79 3
79 0
79 2
79 4
79 15
78 5
78 20
78 2
78 50
78 72
77 4
77 0
77 47
77 44
77 71
76 7
76 5
76 0
76 4
76 57
75 2
75 5
75 4
75 3
75 31
74 1
74 0
74 3
74 2
74 10
73 12
73 10
73 3
73 0
73 17
72 20
72 2
72 50
72 5
72 65
71 5
71 44
71 0
71 4
71 47
70 36
70 1
70 2
70 0
70 69
69 2
69 5
69 0
69 1
69 36
68 0
68 2
68 3
68 4
68 1
67 1
67 7
67 2
67 4
67 39
66 5
66 4
66 2
66 0
66 15
65 5
65 20
65 4
65 2
65 50
64 2
64 20
64 3
64 4
64 21
63 7
63 2
63 5
63 1
63 59
62 4
62 3
62 6
62 1
62 32
61 3
61 0
61 1
61 4
61 10
60 4
60 5
60 3
60 44
60 47
59 4
59 5
59 1
59 2
59 7
58 4
58 5
58 20
58 2
58 41
57 0
57 5
57 7
57 4
57 33
56 0
56 4
56 2
56 5
56 35
55 5
55 3
55 20
55 4
55 44
54 44
54 4
54 3
54 5
54 47
53 2
53 4
53 1
53 5
53 6
52 5
52 3
52 9
52 4
52 31
51 1
51 5
51 2
51 4
51 30
50 5
50 2
50 20
50 4
50 21
49 5
49 3
49 4
49 44
49 47
48 2
48 4
48 1
48 3
48 6
47 5
47 0
47 3
47 4
47 44
46 0
46 3
46 5
46 1
46 40
45 5
45 0
45 4
45 2
45 35
44 0
44 5
44 3
44 4
44 20
43 2
43 4
43 5
43 3
43 1
42 5
42 2
42 3
42 4
42 30
41 5
41 4
41 0
41 2
41 20
40 0
40 5
40 1
40 3
40 4
39 0
39 1
39 4
39 2
39 7
38 4
38 3
38 1
38 5
38 25
37 5
37 4
37 1
37 7
37 33
36 1
36 0
36 5
36 4
36 2
35 0
35 4
35 2
35 5
35 3
34 11
34 4
34 1
34 2
34 14
33 4
33 0
33 1
33 5
33 7
32 4
32 1
32 5
32 3
32 6
31 5
31 3
31 4
31 2
31 9
30 2
30 4
30 1
30 3
30 5
29 2
29 11
29 1
29 4
29 14
28 4
28 3
28 2
28 0
28 20
27 5
27 4
27 11
27 2
27 14
26 5
26 4
26 11
26 2
26 14
25 4
25 0
25 1
25 5
25 3
24 4
24 16
24 12
24 10
24 23
23 1
23 10
23 4
23 12
23 16
22 1
22 4
22 3
22 0
22 12
21 3
21 2
21 5
21 4
21 20
20 2
20 3
20 0
20 4
20 5
19 1
19 3
19 4
19 5
19 8
18 1
18 4
18 3
18 5
18 9
17 4
17 10
17 0
17 3
17 12
16 10
16 3
16 1
16 4
16 12
15 0
15 5
15 2
15 3
15 4
14 5
14 1
14 2
14 4
14 11
13 2
13 1
13 5
13 0
13 4
12 0
12 4
12 3
12 1
12 10
11 1
11 4
11 5
11 2
11 9
10 4
10 3
10 0
10 1
10 2
9 1
9 2
9 4
9 5
9 3
8 1
8 2
8 4
8 3
8 5
7 4
7 2
7 0
7 1
7 5
6 2
6 1
6 5
6 4
6 3
0 5
5 0
1 5
5 1
2 5
5 2
3 5
5 3
4 5
5 4
0 4
4 0
1 4
4 1
2 4
4 2
3 4
4 3
0 3
3 0
1 3
3 1
2 3
3 2
0 2
2 0
1 2
2 1
0 1
1 0
