Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
68	0	11.000	17.000	21.000	24.000	27.000	30.000	33.000	35.000	37.000	39.000	
59	0	0	0	0	0	0	0	0	0	0	0	
70	0	0	0	0	0	0	0	0	0	0	0	
64	0	22.000	33.000	39.000	43.000	46.000	49.000	52.000	55.000	57.000	59.000	
0	138.000	499.000	782.000	936.000	1044.000	1125.000	1205.000	1285.000	1363.000	1417.000	1471.000	
105	0	0	0	0	0	0	0	0	0	0	0	
95	0	14.500	25.666	31.666	36.166	39.166	42.166	45.166	48.166	50.250	52.300	
91	0	0	0	0	0	0	0	0	0	0	0	
100	0	22.000	33.000	39.000	43.000	46.000	49.000	52.000	55.000	57.000	59.000	
92	0	22.000	33.000	39.000	43.000	46.000	49.000	52.000	54.000	56.000	58.000	
26	0	12.500	23.666	29.666	34.166	37.166	40.166	43.166	45.250	47.300	49.300	
81	0	23.000	33.000	39.000	43.000	46.000	49.000	52.000	54.000	56.000	58.000	
12	0	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	
33	0	0	0	0	0	0	0	0	0	0	0	
45	0	59.000	78.000	95.000	107.000	116.000	125.000	134.000	143.000	149.000	155.000	
31	0	0	0	0	0	0	0	0	0	0	0	
48	0	396.000	701.000	867.000	983.000	1070.000	1156.000	1242.000	1326.000	1384.000	1442.000	
47	0	37.000	49.000	58.000	65.000	71.000	77.000	83.000	89.000	93.000	97.000	
